"","Year","Month","monthly.mean"
"1",2002,"03",0.0036
"2",2002,"04",0.0327477647058824
"3",2002,"05",0.196364
"4",2003,"02",0.0144812
"5",2003,"04",0.029158
"6",2003,"05",0
"7",2003,"07",0.0257218181818182
"8",2003,"08",0.0032992
"9",2003,"10",0.000166153846153846
"10",2003,"11",0.00451612121212121
"11",2003,"12",0.0122391111111111
"12",2004,"01",0.001944
"13",2004,"02",0
"14",2004,"03",0.0106916
"15",2004,"04",0.00346864516129032
"16",2004,"05",0.0014125
"17",2004,"07",0.00036
"18",2004,"08",0.00024
"19",2004,"09",0.001908
"20",2004,"10",0.149925037037037
"21",2004,"11",0.00234644444444444
"22",2004,"12",0.00159566666666667
"23",2005,"01",0.0007155
"24",2005,"02",0.144570571428571
"25",2005,"03",0.00309104761904762
"26",2005,"04",0.000443333333333333
"27",2005,"05",0.000808421052631579
"28",2005,"06",0.001108
"29",2005,"07",0.109930162162162
"30",2005,"08",0.004874
"31",2005,"09",0.00216
"32",2005,"10",0.000443333333333333
"33",2005,"11",0.000808421052631579
"34",2005,"12",0.0946683720930233
"35",2006,"02",0.005684
"36",2006,"04",0.00103538461538462
"37",2006,"05",0.149737037037037
"38",2006,"06",0.000432
"39",2006,"07",0.00144
"40",2006,"08",0.00185142857142857
"41",2006,"10",0.00378933333333333
"42",2006,"12",0.000790518518518519
"43",2007,"02",0.192246476190476
"44",2007,"03",0.00276928
"45",2007,"04",0.00216
"46",2007,"07",0.0007208
"47",2007,"08",0.25239625
"48",2007,"09",0.68333425
"49",2007,"10",0.000925714285714286
"50",2007,"11",0.0664854230769231
"51",2007,"12",0.00495314285714286
"52",2008,"01",0.432206294117647
"53",2008,"02",0.903285111111111
"54",2008,"03",0.000822105263157895
"55",2008,"04",0.00328533333333333
"56",2008,"05",0.122262424242424
"57",2008,"06",0.003111
"58",2008,"07",0.0024896
"59",2008,"10",0.129453548387097
"60",2008,"11",0.00375146666666667
"61",2008,"12",0.0258818378378378
"62",2009,"02",0.172871777777778
"63",2009,"03",0.00309104761904762
"64",2009,"04",0.000961428571428571
"65",2009,"05",0.122577575757576
"66",2009,"06",0.0292935454545455
"67",2009,"07",0.81558246875
"68",2009,"08",0.00125555555555556
"69",2009,"09",2.75630310526316
"70",2009,"10",0.134835333333333
"71",2009,"11",0.00102857142857143
"72",2009,"12",0.00373288888888889
"73",2010,"06",0.00377933333333333
"74",2010,"07",0.000532
"75",2010,"08",0.0012
"76",2010,"10",0.0783711538461539
"77",2010,"11",0.0045472
"78",2010,"12",0.00122363636363636
"79",2011,"01",0
"80",2011,"02",0.134835333333333
"81",2011,"03",0.0012096
"82",2011,"04",0.00310168421052632
"83",2011,"05",0.0020576
"84",2011,"06",0.24960125
"85",2011,"07",0.0185684
"86",2011,"08",0.00038
"87",2011,"10",0.0727732142857143
"88",2011,"11",0.0314800769230769
"89",2011,"12",0.000743809523809524
"90",2012,"01",0.00379076923076923
"91",2012,"02",0.143323571428571
"92",2012,"03",0.00452654545454545
"93",2012,"04",0.00652941176470588
"94",2012,"05",0.230109205128205
"95",2012,"06",0.191632333333333
"96",2012,"07",0.211518260869565
"97",2012,"10",2.07436657534247
"98",2012,"11",1.77717333333333
"99",2014,"02",0.0902982121212121
